Ref,Val,Package,PosX,PosY,Rot,Side
"C100","1u","C_0603_1608Metric",48.690000,-27.450000,-90.000000,top
"C101","1u","C_0603_1608Metric",46.690000,-27.450000,-90.000000,top
"C102","10u","C_0603_1608Metric",30.450000,-40.137500,180.000000,top
"C103","10u","C_0603_1608Metric",27.200000,-42.887500,90.000000,top
"C104","10u","C_0603_1608Metric",38.750000,-12.000000,-90.000000,top
"C105","10u","C_0603_1608Metric",44.750000,-12.000000,-90.000000,top
"C106","DNP","C_0402_1005Metric",42.000000,-15.750000,180.000000,top
"C107","10u","C_0603_1608Metric",28.750000,-51.550000,180.000000,top
"C108","100n","C_0402_1005Metric",33.000000,-47.050000,90.000000,top
"C200","10u","C_0603_1608Metric",22.500000,-19.225000,90.000000,top
"C201","100n","C_0402_1005Metric",24.000000,-19.270000,90.000000,top
"C202","100n","C_0402_1005Metric",32.520000,-28.250000,180.000000,top
"C203","100n","C_0402_1005Metric",36.000000,-19.700000,-90.000000,top
"C204","100n","C_0402_1005Metric",27.520000,-16.500000,0.000000,top
"C205","10n","C_0402_1005Metric",24.000000,-23.730000,90.000000,top
"C206","1u","C_0603_1608Metric",22.500000,-23.975000,90.000000,top
"C207","1u","C_0603_1608Metric",20.500000,-23.975000,90.000000,top
"C208","10p","C_0402_1005Metric",19.750000,-20.750000,180.000000,top
"C209","10p","C_0402_1005Metric",17.500000,-20.750000,0.000000,top
"C210","100n","C_0402_1005Metric",49.450000,-19.750000,0.000000,top
"C211","100n","C_0402_1005Metric",5.000000,-17.800000,0.000000,top
"C212","100n","C_0402_1005Metric",14.330000,-13.350000,0.000000,top
"C300","150p","C_0402_1005Metric",20.250000,-49.900000,90.000000,top
"C301","100n","C_0402_1005Metric",22.000000,-50.400000,180.000000,top
"C302","100n","C_0402_1005Metric",21.050000,-43.850000,0.000000,top
"C303","1n","C_0402_1005Metric",15.750000,-49.750000,-90.000000,top
"C304","150p","C_0402_1005Metric",11.000000,-47.800000,90.000000,top
"C305","1n","C_0402_1005Metric",16.250000,-48.250000,0.000000,top
"C306","100n","C_0402_1005Metric",17.750000,-45.250000,-90.000000,top
"C307","150p","C_0402_1005Metric",15.350000,-42.350000,0.000000,top
"C308","10u","C_0603_1608Metric",7.575000,-30.800000,180.000000,top
"C309","10u","C_0603_1608Metric",9.000000,-44.250000,180.000000,top
"C310","10u","C_0603_1608Metric",12.000000,-39.750000,90.000000,top
"C311","100n","C_0402_1005Metric",13.500000,-39.750000,90.000000,top
"C312","10u","C_0603_1608Metric",12.000000,-36.250000,-90.000000,top
"C313","100n","C_0402_1005Metric",13.500000,-36.230000,-90.000000,top
"C314","100n","C_0402_1005Metric",14.500000,-34.000000,180.000000,top
"C315","10u","C_0603_1608Metric",14.225000,-32.500000,180.000000,top
"C400","10u","C_0603_1608Metric",40.900000,-30.300000,180.000000,top
"C401","100n","C_0402_1005Metric",41.150000,-31.800000,180.000000,top
"C402","1u","C_0603_1608Metric",39.650000,-34.300000,-90.000000,top
"C403","1n","C_0402_1005Metric",41.661250,-43.700000,0.000000,top
"C404","150p","C_0402_1005Metric",43.950000,-47.450000,0.000000,top
"C405","1n","C_0402_1005Metric",39.451250,-45.950000,180.000000,top
"C406","100n","C_0402_1005Metric",37.931250,-48.950000,90.000000,top
"D100","LED","LED_0603_1608Metric",54.500000,-11.200000,180.000000,top
"D200","LED_RGB_E6C1206RGBC3UDA","LED_Cree-PLCC4_2x2mm_CW",5.000000,-20.300000,90.000000,top
"D201","PESD3V3L1BA,115","D_SOD-323",24.100000,-2.850000,90.000000,top
"D202","PESD3V3L1BA,115","D_SOD-323",24.850000,-10.350000,180.000000,top
"D203","PESD3V3L1BA,115","D_SOD-323",21.350000,-10.350000,0.000000,top
"D204","PESD3V3L1BA,115","D_SOD-323",17.850000,-10.350000,180.000000,top
"D205","PESD3V3L1BA,115","D_SOD-323",14.350000,-10.350000,180.000000,top
"D300","PESD3V3L1BA,115","D_SOD-323",18.800000,-52.700000,0.000000,top
"D400","PESD3V3L1BA,115","D_SOD-323",44.500000,-52.400000,0.000000,top
"J200","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",57.500000,-22.650000,90.000000,top
"J201","2x5 1.27mm","PinHeader_2x05_P1.27mm_Vertical_SMD",19.100000,-4.850000,-90.000000,top
"J300","031-5640-1010","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",17.500000,-56.500000,180.000000,top
"J400","031-5640-1010","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",42.500000,-56.600000,180.000000,top
"L100","10n","L_0402_1005Metric",47.690000,-25.150000,180.000000,top
"L101","68u","L_1210_3225Metric",43.000000,-8.300000,0.000000,top
"L200","10n","L_0402_1005Metric",21.500000,-26.250000,180.000000,top
"R100","10R","R_0805_2012Metric",31.200000,-37.387500,-90.000000,top
"R101","100k","R_0402_1005Metric",42.000000,-14.500000,0.000000,top
"R102","22k","R_0402_1005Metric",39.750000,-14.500000,0.000000,top
"R103","1k","R_0402_1005Metric",54.800000,-12.900000,0.000000,top
"R104","1k","R_0402_1005Metric",31.500000,-50.000000,0.000000,top
"R105","1k","R_0402_1005Metric",29.000000,-50.000000,0.000000,top
"R200","10k","R_0402_1005Metric",29.250000,-16.110000,-90.000000,top
"R201","0R","R_0402_1005Metric",17.500000,-22.000000,0.000000,top
"R202","10k","R_0402_1005Metric",35.950000,-26.100000,90.000000,top
"R203","10k","R_0402_1005Metric",26.950000,-28.500000,0.000000,top
"R204","1k5","R_0402_1005Metric",39.000000,-20.600000,-90.000000,top
