Designator,Mid X,Mid Y,Rotation,Layer
C100,48.69,-27.45,-90.0,top
C101,46.69,-27.45,-90.0,top
C102,30.45,-40.1375,180.0,top
C103,27.2,-42.8875,90.0,top
C104,38.75,-12.0,-90.0,top
C105,44.75,-12.0,-90.0,top
C106,42.0,-15.75,180.0,top
C107,28.75,-51.55,180.0,top
C108,33.0,-47.05,90.0,top
C200,22.5,-19.225,90.0,top
C201,24.0,-19.27,90.0,top
C202,32.52,-28.25,180.0,top
C203,36.0,-19.7,-90.0,top
C204,27.52,-16.5,0.0,top
C205,24.0,-23.73,90.0,top
C206,22.5,-23.975,90.0,top
C207,20.5,-23.975,90.0,top
C208,19.75,-20.75,180.0,top
C209,17.5,-20.75,0.0,top
C210,49.45,-19.75,0.0,top
C211,5.0,-17.8,0.0,top
C212,14.33,-13.35,0.0,top
C300,20.25,-49.9,90.0,top
C301,22.0,-50.4,180.0,top
C302,21.05,-43.85,0.0,top
C303,15.75,-49.75,-90.0,top
C304,11.0,-47.8,90.0,top
C305,16.25,-48.25,0.0,top
C306,17.75,-45.25,-90.0,top
C307,15.35,-42.35,0.0,top
C308,7.575,-30.8,180.0,top
C309,9.0,-44.25,180.0,top
C310,12.0,-39.75,90.0,top
C311,13.5,-39.75,90.0,top
C312,12.0,-36.25,-90.0,top
C313,13.5,-36.23,-90.0,top
C314,14.5,-34.0,180.0,top
C315,14.225,-32.5,180.0,top
C400,40.9,-30.3,180.0,top
C401,41.15,-31.8,180.0,top
C402,39.65,-34.3,-90.0,top
C403,41.66125,-43.7,0.0,top
C404,43.95,-47.45,0.0,top
C405,39.45125,-45.95,180.0,top
C406,37.93125,-48.95,90.0,top
D100,54.5,-11.2,180.0,top
D200,5.0,-20.3,90.0,top
D201,24.1,-2.85,90.0,top
D202,24.85,-10.35,180.0,top
D203,21.35,-10.35,0.0,top
D204,17.85,-10.35,180.0,top
D205,14.35,-10.35,180.0,top
D300,18.8,-52.7,0.0,top
D400,44.5,-52.4,0.0,top
J200,57.5,-22.65,90.0,top
J201,19.1,-4.85,-90.0,top
J300,17.5,-56.5,180.0,top
J400,42.5,-56.6,180.0,top
L100,47.69,-25.15,180.0,top
L101,43.0,-8.3,0.0,top
L200,21.5,-26.25,180.0,top
R100,31.2,-37.3875,-90.0,top
R101,42.0,-14.5,0.0,top
R102,39.75,-14.5,0.0,top
R103,54.8,-12.9,0.0,top
R104,31.5,-50.0,0.0,top
R105,29.0,-50.0,0.0,top
R200,29.25,-16.11,-90.0,top
R201,17.5,-22.0,0.0,top
R202,35.95,-26.1,90.0,top
R203,26.95,-28.5,0.0,top
R204,39.0,-20.6,-90.0,top
R205,56.25,-29.0,180.0,top
R206,56.25,-16.25,180.0,top
R207,7.75,-19.55,180.0,top
R208,7.75,-22.55,180.0,top
R209,7.75,-21.05,180.0,top
R210,24.85,-12.1,0.0,top
R211,21.35,-12.1,180.0,top
R212,17.85,-12.1,0.0,top
R213,14.35,-12.1,0.0,top
R300,17.75,-50.75,-90.0,top
R301,19.0,-49.9,-90.0,top
R302,23.0,-49.25,0.0,top
R303,17.24,-49.25,0.0,top
R304,14.5,-48.75,-90.0,top
R305,12.75,-48.25,0.0,top
R306,13.85,-42.85,-90.0,top
R307,16.85,-42.85,-90.0,top
R308,8.325,-32.8,-90.0,top
R309,16.9,-32.35,90.0,top
R400,42.65,-28.3,-90.0,top
R401,42.65,-40.4,0.0,top
R402,41.18125,-42.1,90.0,top
R403,41.18125,-45.45,90.0,top
R404,42.93125,-45.95,180.0,top
R405,43.43125,-50.05,90.0,top
U100,30.2625,-42.8875,0.0,top
U101,41.75,-12.0,180.0,top
U102,30.25,-47.5,0.0,top
U200,30.0,-22.5,0.0,top
U201,49.0,-22.2,180.0,top
U300,21.5,-46.5,90.0,top
U301,15.0,-45.75,0.0,top
U302,9.0,-41.5,180.0,top
U303,15.75,-38.0,0.0,top
U400,42.15,-35.8,0.0,top
U401,40.68125,-48.45,180.0,top
Y200,18.5,-18.25,180.0,top
